금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,소재지도로명주소,관리기관명,위도,경도,데이터기준일자
BHC(동부오거리점),시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 선화로 341, 1층 (영등동)",전라북도 익산시,35.946187,126.967584,2022-03-09
F학점의 천재들,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 익산대로58길 32 (신동,(1층))",전라북도 익산시,35.9612088,126.957659,2022-03-09
GS25 원광보건대점,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 익산대로74길 21, 1층 (신용동, GS25원광보건대점 내)",전라북도 익산시,35.973341,126.9560858,2022-03-09
GS25익산 부송중앙점,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 무왕로22길 9, 1층 (부송동)",전라북도 익산시,35.958315,126.986947,2022-03-09
H 시카고,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 익산대로68길 35 (신동,(2층))",전라북도 익산시,35.962209,126.957347,2022-03-09
PLAN(플랜),시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 무왕로 1182, 1층 (부송동, 청담빌딩)",전라북도 익산시,35.95920156,126.9879038,2022-03-09
WM카페테리아,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 익산대로 460, 2층 (신동, 외 54필지)",전라북도 익산시,35.97171397,126.9602243,2022-03-09
WM푸드몰,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 익산대로 460, 1층 (신동, 외 54필지)",전라북도 익산시,35.97171397,126.9602243,2022-03-09
가마솥탕집,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 하나로10길 62-12 (부송동,(1층))",전라북도 익산시,35.961048,126.987981,2022-03-09
가야돌솥밥,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 함열읍 함열3길 16 ((1층)),전라북도 익산시,36.0801063,126.960791,2022-03-09
가온오리,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 서동로 102-16 (동산동,(1층))",전라북도 익산시,35.9329819,126.9631189,2022-03-09
가을애,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 동서로19길 86 (신동,(1층))",전라북도 익산시,35.961631,126.9582961,2022-03-09
가인쌈밥,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 목천로 350-1, 1층 (동산동)",전라북도 익산시,35.926432,126.959377,2022-03-09
갈무리(영등점),시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 하나로11길 39 (영등동),전라북도 익산시,35.95910825,126.9771911,2022-03-09
갈비가,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 동서로 505, 1층 (어양동)",전라북도 익산시,35.95320133,126.988458,2022-03-09
갈비박스 익산점,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 무왕로26길 13, 2층 201호 (부송동)",전라북도 익산시,35.959443,126.9983416,2022-03-09
갈비사랑,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 고봉로28길 6 (영등동,(1층))",전라북도 익산시,35.955123,126.9705947,2022-03-09
갈비야 갈비야,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 동서로43길 34-1 (영등동),전라북도 익산시,35.9541103,126.975974,2022-03-09
감나무골 함라산 갈매기,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 함라면 수동길 66 (외1(1층)),전라북도 익산시,36.06096801,126.9054768,2022-03-09
감사한양,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 무왕로23길 29-1 (부송동),전라북도 익산시,35.962155,126.988016,2022-03-09
감사한양 1,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,전라북도 익산시 무왕로23길 29-1 (부송동),전라북도 익산시,35.962155,126.988016,2022-03-09
강서방호프,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 고봉로 167 (영등동,(1층))",전라북도 익산시,35.94741132,126.966718,2022-03-09
강호동 678 치킨,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 평동로 786, 1층 (동산동)",전라북도 익산시,35.926649,126.9647929,2022-03-09
개성족발 보쌈 원대본점,시설전체,전라북도,익산시,음식점,국민건강증진법제9조,"전라북도 익산시 인북로 358, 1층 (신동)",전라북도 익산시,35.96000566,126.9620305,2022-03-09
이리중앙초등학교,시설전체,전라북도,익산시,초등학교,국민건강증진법제9조,전라북도 익산시 인북로 77,전라북도 익산시,35.9356789,126.9508715,2022-03-09
쎈수학러닝센터부송학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송1로 122 , 2층일부 (부송동)",전라북도 익산시,35.95817305,126.995409,2022-03-09
셀파우등생교실동산휴먼시아학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 평동로 7길 26,전라북도 익산시,35.929502,126.965389,2022-03-09
정진학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 동천로 길 70 , 3층 (마동)",전라북도 익산시,35.934617,126.967118,2022-03-09
삼성영어궁동학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 하나로 0길 102 , 2층일부 (부송동,몽실네곱창구이)",전라북도 익산시,35.961831,126.992392,2022-03-09
엘잉글리쉬(LEnglish)어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 12 , 2층 (영등동)",전라북도 익산시,35.953664,126.971181,2022-03-09
창조미술학원고봉로학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 272 , 1층일부 (영등동,이승현갤러리)",전라북도 익산시,35.9561327,126.9704958,2022-03-09
오케이수학전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 배산로 길 24-7 , 4층일부 (모현동1가)",전라북도 익산시,35.948518,126.936378,2022-03-09
예은피아노학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 9 , (2층) (영등동,운동화빠는날)",전라북도 익산시,35.953701,126.970912,2022-03-09
닥터송수학원라임영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 38 , (2층) (영등동)",전라북도 익산시,35.955924,126.971969,2022-03-09
그루터기학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 6길 12 , (2층) (영등동,거산입시학원)",전라북도 익산시,35.953969,126.970682,2022-03-09
은소리피아노음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 동천로 81-15 , (2층) (동산동,은소리피아노음악학원)",전라북도 익산시,35.930213,126.970844,2022-03-09
멘토이앤엠영수학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 궁동로 126 , (501호) (부송동)",전라북도 익산시,35.962459,126.9851924,2022-03-09
일등급입시외국어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 4 , (2층) (영등동,사하라왕조개)",전라북도 익산시,35.93729442,126.9621743,2022-03-09
플레이더피아노음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 길 63-2 , (2층) (영등동,주택)",전라북도 익산시,35.964185,126.972777,2022-03-09
권은정음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 길 10 , 208호 (모현동1가)",전라북도 익산시,35.946276,126.942745,2022-03-09
스마트학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 길 45-1 , 2층1호 (부송동,우미아파트상가)",전라북도 익산시,35.957066,126.993198,2022-03-09
킴샘내신수능영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 배산로 39-6 , (2층) (송학동,송학동리젠시빌아파트2단지)",전라북도 익산시,35.94216433,126.9357815,2022-03-09
영등하은피아노학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 동서로 9길 8-1 , (1층) (영등동,번암막걸리)",전라북도 익산시,35.954232,126.976528,2022-03-09
예일학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 길 38 , 제일오투그란데A상가201,202호 (부송동,부송동 오투그란데)",전라북도 익산시,35.959253,126.997419,2022-03-09
피아니스트음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 서동로 길 15 , (2층) (동산동,도널드치킨)",전라북도 익산시,35.931616,126.961055,2022-03-09
한수위수학학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 부송1로 90 (),전라북도 익산시,35.95781237,126.992091,2022-03-09
최영민영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 고봉로 275-6 (2층) (영등동),전라북도 익산시,35.956737,126.969971,2022-03-09
프라임외국어속셈학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 배산로 4길 5 (),전라북도 익산시,35.945938,126.939555,2022-03-09
익산교일학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송1로 70 , (1037번지 302호) (부송동)",전라북도 익산시,35.95750217,126.989724,2022-03-09
케인박학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 배산로 6길 22 (3층) (모현동1가),전라북도 익산시,35.9425343,126.9400287,2022-03-09
킴스아카데미외국어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 1062 (영등동,주택)",전라북도 익산시,35.95820655,126.974852,2022-03-09
감선애피아노학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송로 68 (부송동,건강이열리는약국)",전라북도 익산시,35.9576346,126.9909916,2022-03-09
김하연피아노클래스학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 6길 31 , 우남A상가202 (영등동,영등우남아파트)",전라북도 익산시,35.95878002,126.9621818,2022-03-09
바운스영어전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 함열읍 함열중앙로 57 , 2층 (함열읍 삼성화재)",전라북도 익산시,36.078255,126.963647,2022-03-09
손영석수능학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 261-3 , 2층 (영등동,주택)",전라북도 익산시,35.9553414,126.9697374,2022-03-09
참사랑속셈학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 고봉로 270-13 (),전라북도 익산시,35.95580132,126.9716451,2022-03-09
한양학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 황등면 황등로 106 , (2층) (황등면,한일식당)",전라북도 익산시,36.0013901,126.944738,2022-03-09
열린음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 0길 76 , (2층) (영등동,종로 스쿨)",전라북도 익산시,35.955342,126.978517,2022-03-09
박용암음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 6길 14 , (2층) (영등동,숙이네오리랑닭이랑)",전라북도 익산시,35.951585,126.974075,2022-03-09
퍼스트클래스영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 3길 25 , 206호 (영등동,영등3차제일아파트)",전라북도 익산시,35.961027,126.974915,2022-03-09
청명학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 0길 43 , (2층9호) (영등동,비사벌아파트)",전라북도 익산시,35.956645,126.975658,2022-03-09
창조미술학원모현동학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 길 4 , 404호 (모현동1가)",전라북도 익산시,35.946024,126.943181,2022-03-09
녹지예능학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 동천로 길 17 , (1층) (동산동,함박집(임시))",전라북도 익산시,35.930616,126.967144,2022-03-09
시매쓰모현학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 배산로 102 , (3층) (모현동1가,1급카센타)",전라북도 익산시,35.946801,126.9397897,2022-03-09
버클리영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 268 , 2층 (영등동,주택)",전라북도 익산시,35.955773,126.970323,2022-03-09
뿌리가깊은나무국어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 0길 14 , 청운빌딩4층 (영등동,주택)",전라북도 익산시,35.956011,126.971682,2022-03-09
송윤아피아노전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 5길 19 , 3층 (부송동,주택)",전라북도 익산시,35.961669,126.992971,2022-03-09
秀(수)학당학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 배산로 길 44 , 3층",전라북도 익산시,35.946879,126.936299,2022-03-09
에스엠영어전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 약촌로 205 , 3층 (영등동,중국어아카데미학원)",전라북도 익산시,35.951943,126.973808,2022-03-09
아테나어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 서동로 104 , 2층 (동산동,엘베강 동산점)",전라북도 익산시,35.9340214,126.9631635,2022-03-09
